condition	dummy_condition	subject	session	category	word	rt	log_rt	fasttext_cos_similarity	ppmi_cos_similarity
pIFG	1.5	022	1	Traube	Beere	1867.44156154984	7.5328599728409635	0.44133511185646057	0.32569055328318297
sham	1.0	023	2	Traube	Birne	2320.84415526854	7.7501170434113344	0.384211927652359	0.2654336193090796
aIFG	0.5	024	3	Traube	Orange	1735.19913838189	7.459453599690962	0.31448712572455406	0.2511675847960394
aIFG	0.5	103	2	Traube	Banane	2243.33333333333	7.71616379987717	0.335041768848896	0.24972166232835225
sham	1.0	001	1	Treppe	Leiter	2212.21645052344	7.702202143909506	0.27656327560544014	0.09095047709937654
pIFG	1.5	002	3	Treppe	Stufen	1253.45888255577	7.134459589307412	0.4080652594566345	0.4184377022342213
aIFG	0.5	004	3	Treppe	Haus	1216.66666666666	7.104691738127167	0.38256554305553436	0.373378139685947
sham	1.0	005	2	Treppe	Aufzug	1494.32901046883	7.310101535504273	0.4786284863948822	0.5920990772766097
aIFG	0.5	007	2	Treppe	Leiter	1144.83117781067	7.043885572121532	0.27656327560544014	0.09095047709937654
pIFG	1.5	008	3	Treppe	Fahrstuhl	1669.07792679791	7.420625567075367	0.45306117087602615	0.5752516313620953
aIFG	0.5	011	3	Treppe	Aufzug	2830.0	7.9483852851118995	0.4786284863948822	0.5920990772766097
pIFG	1.5	012	1	Treppe	Aufzug	1281.79654466319	7.1567977742257165	0.4786284863948822	0.5920990772766097
aIFG	0.5	013	2	Treppe	Fahrstuhl	1857.9956741807	7.527791660758381	0.45306117087602615	0.5752516313620953
pIFG	1.5	014	3	Treppe	Leiter	1395.14719309287	7.2414717169422715	0.27656327560544014	0.09095047709937654
pIFG	1.5	015	1	Treppe	Fahrstuhl	1754.09091312017	7.470275936905946	0.45306117087602615	0.5752516313620953
sham	1.0	016	1	Treppe	Fahrstuhl	1456.54546099227	7.28450910881353	0.45306117087602615	0.5752516313620953
aIFG	0.5	017	3	Treppe	Fahrstuhl	1536.83550362996	7.33813118961858	0.45306117087602615	0.5752516313620953
sham	1.0	018	2	Treppe	Aufzug	1430.0	7.266128779556451	0.4786284863948822	0.5920990772766097
aIFG	0.5	019	2	Treppe	Fahrstuhl	3473.24241430357	8.153131723958845	0.45306117087602615	0.5752516313620953
pIFG	1.5	020	3	Treppe	Lift	1716.30736364361	7.4485128568998045	0.3833438605070114	0.5196023290540482
sham	1.0	021	1	Treppe	Flur	2698.67965003412	7.900888396817662	0.4246840551495552	0.5911914598610698
pIFG	1.5	022	1	Treppe	Gelaender	2056.35930893264	7.629178550593616	0.36969576217234135	0.5877712662908509
sham	1.0	023	2	Treppe	Aufzug	1702.1385325899	7.4402280235609	0.4786284863948822	0.5920990772766097
aIFG	0.5	024	3	Treppe	Stufe	1976.06926629495	7.589370858619058	0.34114205092191696	0.14291709633849892
aIFG	0.5	103	2	Treppe	Lift	2311.3982678994	7.746040476159173	0.3833438605070114	0.5196023290540482
aIFG	0.5	001	3	Tuba	Posaune	1758.81385680474	7.472963319259753	0.4456561729311943	0.4861478493606006
sham	1.0	002	2	Tuba	Posaune	1333.74892519346	7.196498482130644	0.4456561729311943	0.4861478493606006
pIFG	1.5	003	1	Tuba	Bass	1710.0	7.444833273892193	0.28818952688016	0.3567371679457748
aIFG	0.5	005	1	Tuba	Trompete	1300.68831940147	7.171417408090731	0.5330984219908714	0.5593068367835121
aIFG	0.5	006	3	Tuba	Floete	1687.96970153619	7.431873977947189	0.36388612538576126	0.5078979512930614
pIFG	1.5	007	1	Tuba	Trompete	1546.2813909991	7.344254728666438	0.5330984219908714	0.5593068367835121
sham	1.0	008	2	Tuba	Trompete	2231.10822526172	7.710701810346179	0.5330984219908714	0.5593068367835121
sham	1.0	009	3	Tuba	Trompete	2283.06060579198	7.733710105359048	0.5330984219908714	0.5593068367835121
aIFG	0.5	010	1	Tuba	Trompete	2009.12987208694	7.6059546119443695	0.5330984219908714	0.5593068367835121
pIFG	1.5	011	2	Tuba	Trompete	2467.2554094902	7.811266868118935	0.5330984219908714	0.5593068367835121
sham	1.0	012	3	Tuba	Trompete	1919.39394208011	7.5602856221423895	0.5330984219908714	0.5593068367835121
pIFG	1.5	013	1	Tuba	Trompete	1551.00433468367	7.347302493705546	0.5330984219908714	0.5593068367835121
sham	1.0	014	2	Tuba	Trompete	1541.55844731453	7.341197646351494	0.5330984219908714	0.5593068367835121
sham	1.0	015	3	Tuba	Horn	2089.41991472462	7.645120240914094	0.396420493721962	0.35255693004954836
aIFG	0.5	016	3	Tuba	Posaune	1428.20779888486	7.264875582952768	0.4456561729311943	0.4861478493606006
pIFG	1.5	017	2	Tuba	Posaune	1234.5671078175	7.119285340276937	0.4456561729311943	0.4861478493606006
aIFG	0.5	018	1	Tuba	Posaune	1692.69264522076	7.434666421454371	0.4456561729311943	0.4861478493606006
pIFG	1.5	019	1	Tuba	Horn	1523.33333333333	7.3293124349899434	0.396420493721962	0.35255693004954836
sham	1.0	020	2	Tuba	Floete	1503.77489783797	7.3163985964534595	0.36388612538576126	0.5078979512930614
aIFG	0.5	021	3	Tuba	Trompete	2032.74459050979	7.617633998669742	0.5330984219908714	0.5593068367835121
sham	1.0	022	3	Tuba	Posaune	1196.78355834094	7.088228093188264	0.4456561729311943	0.4861478493606006
aIFG	0.5	023	1	Tuba	Trompete	1876.88744891898	7.5379027266192065	0.5330984219908714	0.5593068367835121
pIFG	1.5	024	2	Tuba	Trompete	2505.03895896676	7.826458681610814	0.5330984219908714	0.5593068367835121
pIFG	1.5	103	1	Tuba	Klavier	1735.19913838189	7.459453599690962	0.31461603567004204	0.5407712544469429
sham	1.0	001	1	Umschlag	Brief	1763.53680048931	7.475643498941654	0.4597241282463074	0.4602697179312646
pIFG	1.5	002	3	Umschlag	Brief	1403.33333333333	7.2473179733109045	0.4597241282463074	0.4602697179312646
aIFG	0.5	003	2	Umschlag	Brief	1451.8225173077	7.281263506975058	0.4597241282463074	0.4602697179312646
aIFG	0.5	004	3	Umschlag	Brief	1088.15585359583	6.993158228942421	0.4597241282463074	0.4602697179312646
sham	1.0	005	2	Umschlag	Tasche	3222.92639902137	8.078355274278266	0.3588617816567421	0.32332878658555164
